,year,source_id,experiment_id,tas
391,1921.0,CanESM5,ssp370,
392,1921.0,ACCESS-CM2,historical,287.13036939249855
393,1921.0,ACCESS-CM2,ssp370,
394,1921.0,EC-Earth3,historical,287.1488407616784
395,1921.0,EC-Earth3,ssp370,
396,1922.0,CESM2,historical,287.3416693591228
397,1922.0,CESM2,ssp370,
398,1922.0,MPI-ESM1-2-LR,historical,286.93249643351743
399,1922.0,MPI-ESM1-2-LR,ssp370,
400,1922.0,CNRM-ESM2-1,historical,286.73252703698347
401,1922.0,CNRM-ESM2-1,ssp370,
402,1922.0,EC-Earth3-Veg,historical,287.0787156828716
403,1922.0,EC-Earth3-Veg,ssp370,
404,1922.0,FGOALS-g3,historical,287.29928548809426
405,1922.0,FGOALS-g3,ssp370,
406,1922.0,UKESM1-0-LL,historical,286.9158502682007
407,1922.0,UKESM1-0-LL,ssp370,
408,1922.0,CanESM5,historical,286.7207690120325
409,1922.0,CanESM5,ssp370,
410,1922.0,ACCESS-CM2,historical,287.2175080656831
411,1922.0,ACCESS-CM2,ssp370,
412,1922.0,EC-Earth3,historical,286.99484710147635
413,1922.0,EC-Earth3,ssp370,
414,1923.0,CESM2,historical,287.54241224770664
415,1923.0,CESM2,ssp370,
416,1923.0,MPI-ESM1-2-LR,historical,286.81493902464814
417,1923.0,MPI-ESM1-2-LR,ssp370,
418,1923.0,CNRM-ESM2-1,historical,286.77591287927106
419,1923.0,CNRM-ESM2-1,ssp370,
420,1923.0,EC-Earth3-Veg,historical,287.0284824482641
421,1923.0,EC-Earth3-Veg,ssp370,
422,1923.0,FGOALS-g3,historical,287.17169688943267
423,1923.0,FGOALS-g3,ssp370,
424,1923.0,UKESM1-0-LL,historical,286.6741170580493
425,1923.0,UKESM1-0-LL,ssp370,
426,1923.0,CanESM5,historical,286.8498711022407
427,1923.0,CanESM5,ssp370,
428,1923.0,ACCESS-CM2,historical,287.13295485904615
429,1923.0,ACCESS-CM2,ssp370,
430,1923.0,EC-Earth3,historical,287.0598943569234
431,1923.0,EC-Earth3,ssp370,
432,1924.0,CESM2,historical,287.322749401615
433,1924.0,CESM2,ssp370,
434,1924.0,MPI-ESM1-2-LR,historical,286.85983465342656
435,1924.0,MPI-ESM1-2-LR,ssp370,
436,1924.0,CNRM-ESM2-1,historical,286.66423037696933
437,1924.0,CNRM-ESM2-1,ssp370,
438,1924.0,EC-Earth3-Veg,historical,286.9153841194706
439,1924.0,EC-Earth3-Veg,ssp370,
440,1924.0,FGOALS-g3,historical,287.2856099429832
441,1924.0,FGOALS-g3,ssp370,
442,1924.0,UKESM1-0-LL,historical,286.6217105894123
443,1924.0,UKESM1-0-LL,ssp370,
444,1924.0,CanESM5,historical,286.72842812143125
445,1924.0,CanESM5,ssp370,
446,1924.0,ACCESS-CM2,historical,287.19502730453434
447,1924.0,ACCESS-CM2,ssp370,
448,1924.0,EC-Earth3,historical,287.1509206573766
449,1924.0,EC-Earth3,ssp370,
450,1925.0,CESM2,historical,287.2259236704774
451,1925.0,CESM2,ssp370,
452,1925.0,MPI-ESM1-2-LR,historical,286.8926840010135
453,1925.0,MPI-ESM1-2-LR,ssp370,
454,1925.0,CNRM-ESM2-1,historical,286.6673330546519
455,1925.0,CNRM-ESM2-1,ssp370,
456,1925.0,EC-Earth3-Veg,historical,287.12156798998154
457,1925.0,EC-Earth3-Veg,ssp370,
458,1925.0,FGOALS-g3,historical,287.2493899921919
459,1925.0,FGOALS-g3,ssp370,
460,1925.0,UKESM1-0-LL,historical,286.63879495729276
461,1925.0,UKESM1-0-LL,ssp370,
462,1925.0,CanESM5,historical,286.8516652631212
463,1925.0,CanESM5,ssp370,
464,1925.0,ACCESS-CM2,historical,287.22448539494053
465,1925.0,ACCESS-CM2,ssp370,
466,1925.0,EC-Earth3,historical,287.0654901080404
467,1925.0,EC-Earth3,ssp370,
468,1926.0,CESM2,historical,287.2876391589321
469,1926.0,CESM2,ssp370,
470,1926.0,MPI-ESM1-2-LR,historical,286.93729859187835
471,1926.0,MPI-ESM1-2-LR,ssp370,
472,1926.0,CNRM-ESM2-1,historical,286.6800577989146
473,1926.0,CNRM-ESM2-1,ssp370,
474,1926.0,EC-Earth3-Veg,historical,287.16141907976413
475,1926.0,EC-Earth3-Veg,ssp370,
476,1926.0,FGOALS-g3,historical,287.2369730041623
477,1926.0,FGOALS-g3,ssp370,
478,1926.0,UKESM1-0-LL,historical,286.74447476474364
479,1926.0,UKESM1-0-LL,ssp370,
480,1926.0,CanESM5,historical,286.83241463286555
481,1926.0,CanESM5,ssp370,
482,1926.0,ACCESS-CM2,historical,287.14095438592
483,1926.0,ACCESS-CM2,ssp370,
484,1926.0,EC-Earth3,historical,287.110700474818
485,1926.0,EC-Earth3,ssp370,
486,1927.0,CESM2,historical,287.5269305288536
487,1927.0,CESM2,ssp370,
488,1927.0,MPI-ESM1-2-LR,historical,287.0738539971738
489,1927.0,MPI-ESM1-2-LR,ssp370,
490,1927.0,CNRM-ESM2-1,historical,286.7840959082631
491,1927.0,CNRM-ESM2-1,ssp370,
492,1927.0,EC-Earth3-Veg,historical,287.1947590175772
493,1927.0,EC-Earth3-Veg,ssp370,
494,1927.0,FGOALS-g3,historical,287.3340204957431
495,1927.0,FGOALS-g3,ssp370,
496,1927.0,UKESM1-0-LL,historical,286.7090739275839
497,1927.0,UKESM1-0-LL,ssp370,
498,1927.0,CanESM5,historical,286.6718748059704
499,1927.0,CanESM5,ssp370,
500,1927.0,ACCESS-CM2,historical,287.22888243149106
501,1927.0,ACCESS-CM2,ssp370,
502,1927.0,EC-Earth3,historical,287.05116119605617
503,1927.0,EC-Earth3,ssp370,
504,1928.0,CESM2,historical,287.4047074921419
505,1928.0,CESM2,ssp370,
506,1928.0,MPI-ESM1-2-LR,historical,287.0993930779698
507,1928.0,MPI-ESM1-2-LR,ssp370,
508,1928.0,CNRM-ESM2-1,historical,286.89853145300236
509,1928.0,CNRM-ESM2-1,ssp370,
510,1928.0,EC-Earth3-Veg,historical,287.200383526821
511,1928.0,EC-Earth3-Veg,ssp370,
512,1928.0,FGOALS-g3,historical,287.2962972093588
513,1928.0,FGOALS-g3,ssp370,
514,1928.0,UKESM1-0-LL,historical,286.5139795570778
515,1928.0,UKESM1-0-LL,ssp370,
516,1928.0,CanESM5,historical,286.86609218474763
517,1928.0,CanESM5,ssp370,
518,1928.0,ACCESS-CM2,historical,287.24275496725255
519,1928.0,ACCESS-CM2,ssp370,
520,1928.0,EC-Earth3,historical,287.0472481527217
521,1928.0,EC-Earth3,ssp370,
522,1929.0,CESM2,historical,287.4534161101855
523,1929.0,CESM2,ssp370,
524,1929.0,MPI-ESM1-2-LR,historical,287.090649783185
525,1929.0,MPI-ESM1-2-LR,ssp370,
526,1929.0,CNRM-ESM2-1,historical,286.7854389139373
527,1929.0,CNRM-ESM2-1,ssp370,
528,1929.0,EC-Earth3-Veg,historical,287.18928605274147
529,1929.0,EC-Earth3-Veg,ssp370,
530,1929.0,FGOALS-g3,historical,287.26129121210346
531,1929.0,FGOALS-g3,ssp370,
532,1929.0,UKESM1-0-LL,historical,286.59845374213654
533,1929.0,UKESM1-0-LL,ssp370,
534,1929.0,CanESM5,historical,286.76697267355274
535,1929.0,CanESM5,ssp370,
536,1929.0,ACCESS-CM2,historical,287.0718880263586
537,1929.0,ACCESS-CM2,ssp370,
538,1929.0,EC-Earth3,historical,287.0494135705107
539,1929.0,EC-Earth3,ssp370,
540,1930.0,CESM2,historical,287.32568196714334
541,1930.0,CESM2,ssp370,
542,1930.0,MPI-ESM1-2-LR,historical,286.93312317382885
543,1930.0,MPI-ESM1-2-LR,ssp370,
544,1930.0,CNRM-ESM2-1,historical,286.80100835398724
545,1930.0,CNRM-ESM2-1,ssp370,
546,1930.0,EC-Earth3-Veg,historical,287.09127765634406
547,1930.0,EC-Earth3-Veg,ssp370,
548,1930.0,FGOALS-g3,historical,287.3437213217896
549,1930.0,FGOALS-g3,ssp370,
550,1930.0,UKESM1-0-LL,historical,286.8520940578662
551,1930.0,UKESM1-0-LL,ssp370,
552,1930.0,CanESM5,historical,286.7513313718338
553,1930.0,CanESM5,ssp370,
